iter	MAE
0	0.2689097812
1	0.2678790755
2	0.2668561385
3	0.2658539295
4	0.2646067034
5	0.2633445174
6	0.2624149933
7	0.2613555124
8	0.2602642128
9	0.2592677115
10	0.2584634346
11	0.2574579657
12	0.2565302966
13	0.255592824
14	0.2546986969
15	0.2538562585
16	0.2530258597
17	0.2521560148
18	0.2513055772
19	0.2504860337
20	0.249646742
21	0.2488365541
22	0.2478579612
23	0.24705806
24	0.2462431828
25	0.2456470381
26	0.2448078889
27	0.2440494906
28	0.2432527418
29	0.2422192817
30	0.2413955923
31	0.2405229046
32	0.2398337237
33	0.2390646331
34	0.2381090996
35	0.2372951715
36	0.2363076387
37	0.2352644016
38	0.2345044413
39	0.2333798249
40	0.2325817517
41	0.2317164256
42	0.2310260014
43	0.2302855894
44	0.2295883648
45	0.2287394115
46	0.2278503917
47	0.2270530986
48	0.2263746735
49	0.2256042441
50	0.2248631276
51	0.2242812965
52	0.2236230321
53	0.2226781672
54	0.2216300541
55	0.2209712786
56	0.2200273563
57	0.2191981495
58	0.2183286106
59	0.2174434468
60	0.2166375674
61	0.2160387807
62	0.2153302112
63	0.2146959331
64	0.2140032158
65	0.2131335042
66	0.2126258622
67	0.2115502146
68	0.2108037406
69	0.2100521539
70	0.209435894
71	0.2087749205
72	0.2082342185
73	0.2073496897
74	0.2067370914
75	0.2060405186
76	0.2054256795
77	0.2045638864
78	0.2037932087
79	0.2031444542
80	0.2022551304
81	0.2013167875
82	0.2006540661
83	0.1995744991
84	0.1990640112
85	0.1985073535
86	0.1978302205
87	0.1969512036
88	0.1962309356
89	0.1956343013
90	0.1948658187
91	0.1940580275
92	0.1935639927
93	0.1928938135
94	0.1922868782
95	0.1917503352
96	0.1910748125
97	0.1904135835
98	0.1895890109
99	0.1888823122
100	0.1880520528
101	0.1874339127
102	0.1869751171
103	0.1863654851
104	0.1857065537
105	0.1854600467
106	0.1847648068
107	0.1842919122
108	0.1837231899
109	0.1832469596
110	0.1826648966
111	0.1821877407
112	0.1815249359
113	0.1810080426
114	0.1805392043
115	0.1798632264
116	0.1791317093
117	0.1784436065
118	0.1777451449
119	0.1771030855
120	0.1766411974
121	0.1759711023
122	0.1754462827
123	0.1750216476
124	0.1742112784
125	0.1736586312
126	0.1731107859
127	0.1725941685
128	0.1721571795
129	0.1713392588
130	0.17094662
131	0.1704057567
132	0.1699298307
133	0.1694559458
134	0.1690490655
135	0.1685911669
136	0.1679584965
137	0.1673893611
138	0.1668866267
139	0.1663519573
140	0.1658609842
141	0.1653835802
142	0.1647009533
143	0.1645158869
144	0.1641596108
145	0.1637607346
146	0.1632091247
147	0.1627817994
148	0.1624209208
149	0.1619704587
150	0.1615796213
151	0.161070785
152	0.1604953916
153	0.1599983214
154	0.1594415929
155	0.1590749845
156	0.158551321
157	0.1581029716
158	0.1575579604
159	0.1571883132
160	0.1568154311
161	0.1564025824
162	0.1561240705
163	0.1556451801
164	0.1550716877
165	0.154707636
166	0.1542375471
167	0.153895179
168	0.1535556387
169	0.153194037
170	0.1527563418
171	0.15234985
172	0.1519238912
173	0.1517869577
174	0.1514375478
175	0.1511713846
176	0.1508817115
177	0.1505217572
178	0.1499597179
179	0.1495788402
180	0.149053979
181	0.1485439007
182	0.1480302127
183	0.1475830972
184	0.1472070333
185	0.1468177269
186	0.1464859548
187	0.1459844343
188	0.1455449304
189	0.1449179994
190	0.1444685014
191	0.1440284224
192	0.1435242114
193	0.1431915965
194	0.142675101
195	0.1421631366
196	0.1418458723
197	0.1414986101
198	0.1409974716
199	0.1406448686
200	0.140149979
201	0.1398238222
202	0.1394864175
203	0.1391949194
204	0.1387281671
205	0.1381382478
206	0.137754573
207	0.1373593512
208	0.1370711066
209	0.1366445458
210	0.1362856317
211	0.1359289552
212	0.1355901299
213	0.1350897977
214	0.1348775591
215	0.1344834429
216	0.1341112857
217	0.1338159576
218	0.1332974203
219	0.132912933
220	0.1326385292
221	0.1322808987
222	0.1319972144
223	0.1315297264
224	0.1311084795
225	0.1308478483
226	0.1304209697
227	0.1300231331
228	0.1295576176
229	0.1292227017
230	0.1287375407
231	0.1284136403
232	0.1280937437
233	0.1276747904
234	0.1271751432
235	0.1266955266
236	0.1263402593
237	0.1260671998
238	0.1256516069
239	0.1251851247
240	0.1249564918
241	0.1245507684
