iter	Passed	Remaining
0	0	435
1	0	450
2	1	401
3	1	374
4	1	352
5	1	318
6	1	312
7	2	310
8	2	313
9	2	310
10	2	294
11	2	279
12	3	275
13	3	265
14	3	263
15	3	258
16	3	258
17	3	254
18	4	255
19	4	255
20	4	255
21	4	256
22	4	253
23	5	251
24	5	250
25	5	250
26	5	250
27	5	251
28	6	251
29	6	250
30	6	248
31	6	248
32	6	246
33	7	247
34	7	246
35	7	248
36	7	250
37	8	251
38	8	253
39	8	255
40	9	257
41	9	258
42	9	259
43	9	261
44	10	260
45	10	261
46	10	262
47	10	261
48	11	261
49	11	262
50	11	262
51	12	269
52	12	271
53	12	270
54	12	270
55	13	271
56	13	273
57	13	273
58	14	274
59	14	276
60	14	277
61	15	278
62	15	277
63	15	277
64	15	277
65	16	277
66	16	276
67	16	275
68	16	274
69	16	273
70	17	273
71	17	273
72	17	274
73	18	274
74	18	273
75	18	272
76	18	271
77	18	271
78	19	271
79	19	271
80	19	270
81	19	270
82	20	269
83	20	269
84	20	269
85	20	269
86	21	269
87	21	268
88	21	267
89	21	267
90	21	266
91	22	265
92	22	264
93	22	264
94	22	264
95	22	264
96	23	263
97	23	262
98	23	262
99	23	262
100	24	261
101	24	261
102	24	261
103	24	261
104	25	261
105	25	261
106	25	260
107	25	260
108	25	260
109	26	260
110	26	259
111	26	259
112	26	259
113	27	259
114	27	259
115	27	259
116	28	259
117	28	259
118	28	259
119	28	258
120	28	258
121	29	258
122	29	258
123	29	259
124	30	258
125	30	258
126	30	259
127	30	259
128	31	259
129	31	259
130	31	259
131	31	258
132	32	258
133	32	258
134	32	257
135	32	257
136	33	257
137	33	257
138	33	256
139	33	256
140	34	257
141	34	258
142	34	257
143	35	256
144	35	256
145	35	255
146	35	255
147	35	255
148	36	255
149	36	254
150	36	253
151	36	253
152	37	253
153	37	253
154	37	252
155	37	252
156	37	251
157	38	250
158	38	250
159	38	250
160	38	250
161	38	249
162	39	249
163	39	249
164	39	248
165	39	248
166	40	248
167	40	247
168	40	247
169	40	246
170	40	245
171	41	245
172	41	244
173	41	244
174	41	244
175	41	244
176	42	243
177	42	243
178	42	243
179	42	243
180	43	243
181	43	243
182	43	242
183	43	242
184	44	241
185	44	241
186	44	241
187	44	240
188	44	240
189	45	239
190	45	239
191	45	239
192	45	239
193	46	239
194	46	238
195	46	238
196	46	238
197	47	238
198	47	238
199	47	237
200	47	237
201	48	237
202	48	237
203	48	237
204	48	237
205	49	237
206	49	237
207	49	236
208	49	236
209	50	236
210	50	236
211	50	235
212	50	235
213	51	235
214	51	234
215	51	235
216	51	235
217	52	234
218	52	234
219	52	234
220	53	235
221	53	234
222	53	234
223	53	233
224	53	233
225	54	233
226	54	233
227	54	233
228	54	232
229	55	232
230	55	232
231	55	232
232	55	232
233	56	232
234	56	232
235	56	232
236	57	232
237	57	232
238	57	232
239	57	231
240	58	231
241	58	231
242	58	231
243	59	231
244	59	231
245	59	231
246	59	231
247	60	231
248	60	231
249	60	231
250	61	231
251	61	231
252	61	231
253	62	231
254	62	230
255	62	230
256	62	231
257	63	230
258	63	230
259	63	230
260	63	230
261	64	229
262	64	229
263	64	229
264	65	229
265	65	229
266	65	229
267	65	229
268	66	229
269	66	229
270	66	228
271	66	228
272	67	227
273	67	227
274	67	227
275	67	227
